 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  99  -196.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
 100  -198.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
 101  -200.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.0000E+00      -1  -0.245E-02   20.00
end


 Time:      365.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -282.711 0.3553   0.7327E-01  0.2254E-03 -0.1695E+00  0.1275E-02      -1  -0.758E-02   20.00
   2    -2.0000    -285.337 0.3547   0.7149E-01  0.2233E-03 -0.1653E+00  0.1275E-02      -1  -0.740E-02   20.00
   3    -4.0000    -287.960 0.3541   0.6972E-01  0.2212E-03 -0.1611E+00  0.1275E-02      -1  -0.721E-02   20.00
   4    -6.0000    -290.232 0.3706   0.7916E-01  0.2303E-03 -0.1569E+00  0.1275E-02      -1  -0.702E-02   20.00
   5    -8.0000    -292.182 0.3702   0.7761E-01  0.2286E-03 -0.1528E+00  0.1275E-02      -1  -0.684E-02   20.00
   6   -10.0000    -294.109 0.3697   0.7607E-01  0.2269E-03 -0.1490E+00  0.1275E-02      -1  -0.667E-02   20.00
   7   -12.0000    -296.017 0.3692   0.7454E-01  0.2252E-03 -0.1455E+00  0.1275E-02      -1  -0.651E-02   20.00
   8   -14.0000    -297.916 0.3688   0.7301E-01  0.2236E-03 -0.1424E+00  0.1275E-02      -1  -0.637E-02   20.00
   9   -16.0000    -299.818 0.3683   0.7149E-01  0.2219E-03 -0.1398E+00  0.1275E-02      -1  -0.625E-02   20.00
  10   -18.0000    -301.737 0.3678   0.6994E-01  0.2202E-03 -0.1377E+00  0.1275E-02      -1  -0.616E-02   20.00
  11   -20.0000    -303.692 0.3673   0.6837E-01  0.2185E-03 -0.1362E+00  0.1275E-02      -1  -0.609E-02   20.00
  12   -22.0000    -305.149 0.3316   0.8852E-01  0.2220E-03 -0.1353E+00  0.1275E-02      -1  -0.605E-02   20.00
  13   -24.0000    -306.212 0.3314   0.8786E-01  0.2213E-03 -0.1348E+00  0.1275E-02      -1  -0.603E-02   20.00
  14   -26.0000    -307.285 0.3311   0.8732E-01  0.2207E-03 -0.1345E+00  0.1275E-02      -1  -0.602E-02   20.00
  15   -28.0000    -308.373 0.3309   0.8678E-01  0.2200E-03 -0.1345E+00  0.1275E-02      -1  -0.602E-02   20.00
  16   -30.0000    -309.484 0.3307   0.8623E-01  0.2194E-03 -0.1348E+00  0.1275E-02      -1  -0.603E-02   20.00
  17   -32.0000    -310.626 0.3305   0.8566E-01  0.2187E-03 -0.1354E+00  0.1275E-02      -1  -0.606E-02   20.00
  18   -34.0000    -311.807 0.3302   0.8508E-01  0.2180E-03 -0.1363E+00  0.1275E-02      -1  -0.610E-02   20.00
  19   -36.0000    -313.034 0.3300   0.8447E-01  0.2173E-03 -0.1374E+00  0.1275E-02      -1  -0.615E-02   20.00
  20   -38.0000    -314.313 0.3298   0.8384E-01  0.2165E-03 -0.1387E+00  0.1275E-02      -1  -0.620E-02   20.00
  21   -40.0000    -315.651 0.3295   0.8318E-01  0.2157E-03 -0.1402E+00  0.1275E-02      -1  -0.627E-02   20.00
  22   -42.0000    -317.055 0.3292   0.8248E-01  0.2149E-03 -0.1418E+00  0.1275E-02      -1  -0.634E-02   20.00
  23   -44.0000    -318.530 0.3289   0.8176E-01  0.2140E-03 -0.1436E+00  0.1275E-02      -1  -0.642E-02   20.00
  24   -46.0000    -320.080 0.3286   0.8099E-01  0.2131E-03 -0.1454E+00  0.1275E-02      -1  -0.650E-02   20.00
  25   -48.0000    -321.642 0.3370   0.8331E-01  0.2124E-03 -0.1472E+00  0.1275E-02      -1  -0.659E-02   20.00
  26   -50.0000    -323.216 0.3367   0.8251E-01  0.2114E-03 -0.1491E+00  0.1275E-02      -1  -0.667E-02   20.00
  27   -52.0000    -324.872 0.3364   0.8167E-01  0.2105E-03 -0.1510E+00  0.1275E-02      -1  -0.676E-02   20.00
  28   -54.0000    -326.613 0.3361   0.8079E-01  0.2095E-03 -0.1528E+00  0.1275E-02      -1  -0.684E-02   20.00
  29   -56.0000    -328.441 0.3357   0.7986E-01  0.2084E-03 -0.1546E+00  0.1275E-02      -1  -0.692E-02   20.00
  30   -58.0000    -330.358 0.3353   0.7889E-01  0.2073E-03 -0.1563E+00  0.1275E-02      -1  -0.699E-02   20.00
  31   -60.0000    -332.366 0.3349   0.7787E-01  0.2061E-03 -0.1578E+00  0.1275E-02      -1  -0.706E-02   20.00
  32   -62.0000    -334.466 0.3345   0.7680E-01  0.2049E-03 -0.1592E+00  0.1275E-02      -1  -0.712E-02   20.00
  33   -64.0000    -336.660 0.3341   0.7569E-01  0.2036E-03 -0.1605E+00  0.1275E-02      -1  -0.718E-02   20.00
  34   -66.0000    -338.949 0.3336   0.7452E-01  0.2023E-03 -0.1615E+00  0.1275E-02      -1  -0.723E-02   20.00
  35   -68.0000    -341.333 0.3332   0.7331E-01  0.2009E-03 -0.1624E+00  0.1275E-02      -1  -0.727E-02   20.00
  36   -70.0000    -343.814 0.3327   0.7205E-01  0.1994E-03 -0.1631E+00  0.1275E-02      -1  -0.730E-02   20.00
  37   -72.0000    -345.816 0.3409   0.9129E-01  0.2070E-03 -0.1637E+00  0.1275E-02      -1  -0.732E-02   20.00
  38   -74.0000    -347.428 0.3406   0.9023E-01  0.2060E-03 -0.1641E+00  0.1275E-02      -1  -0.734E-02   20.00
  39   -76.0000    -349.090 0.3403   0.8915E-01  0.2050E-03 -0.1643E+00  0.1275E-02      -1  -0.735E-02   20.00
  40   -78.0000    -350.800 0.3399   0.8802E-01  0.2039E-03 -0.1643E+00  0.1275E-02      -1  -0.735E-02   20.00
  41   -80.0000    -352.557 0.3396   0.8687E-01  0.2029E-03 -0.1641E+00  0.1275E-02      -1  -0.734E-02   20.00
  42   -82.0000    -354.357 0.3392   0.8569E-01  0.2018E-03 -0.1637E+00  0.1275E-02      -1  -0.732E-02   20.00
  43   -84.0000    -356.200 0.3388   0.8448E-01  0.2006E-03 -0.1631E+00  0.1275E-02      -1  -0.730E-02   20.00
  44   -86.0000    -358.082 0.3384   0.8325E-01  0.1995E-03 -0.1623E+00  0.1275E-02      -1  -0.726E-02   20.00
  45   -88.0000    -359.999 0.3380   0.8199E-01  0.1983E-03 -0.1613E+00  0.1275E-02      -1  -0.722E-02   20.00
  46   -90.0000    -361.951 0.3376   0.8071E-01  0.1971E-03 -0.1601E+00  0.1275E-02      -1  -0.716E-02   20.00
  47   -92.0000    -363.932 0.3372   0.7941E-01  0.1959E-03 -0.1586E+00  0.1275E-02      -1  -0.710E-02   20.00
  48   -94.0000    -365.941 0.3368   0.7810E-01  0.1947E-03 -0.1570E+00  0.1275E-02      -1  -0.702E-02   20.00
  49   -96.0000    -367.974 0.3364   0.7676E-01  0.1934E-03 -0.1551E+00  0.1275E-02      -1  -0.694E-02   20.00
  50   -98.0000    -370.026 0.3360   0.7542E-01  0.1922E-03 -0.1531E+00  0.1275E-02      -1  -0.685E-02   20.00
  51  -100.0000    -372.095 0.3355   0.7406E-01  0.1909E-03 -0.1509E+00  0.1275E-02      -1  -0.675E-02   20.00
  52  -102.0000    -374.175 0.3351   0.7269E-01  0.1896E-03 -0.1485E+00  0.1275E-02      -1  -0.664E-02   20.00
  53  -104.0000    -376.264 0.3347   0.7132E-01  0.1884E-03 -0.1459E+00  0.1275E-02      -1  -0.653E-02   20.00
  54  -106.0000    -378.356 0.3342   0.6995E-01  0.1871E-03 -0.1431E+00  0.1275E-02      -1  -0.640E-02   20.00
  55  -108.0000    -380.448 0.3338   0.6858E-01  0.1858E-03 -0.1402E+00  0.1275E-02      -1  -0.627E-02   20.00
  56  -110.0000    -382.534 0.3334   0.6721E-01  0.1845E-03 -0.1371E+00  0.1275E-02      -1  -0.614E-02   20.00
  57  -112.0000    -384.610 0.3330   0.6585E-01  0.1833E-03 -0.1340E+00  0.1275E-02      -1  -0.599E-02   20.00
  58  -114.0000    -386.656 0.3326   0.6497E-01  0.1823E-03 -0.1307E+00  0.1275E-02      -1  -0.585E-02   20.00
  59  -116.0000    -388.649 0.3323   0.6438E-01  0.1815E-03 -0.1275E+00  0.1275E-02      -1  -0.570E-02   20.00
  60  -118.0000    -390.577 0.3320   0.6380E-01  0.1807E-03 -0.1242E+00  0.1275E-02      -1  -0.556E-02   20.00
  61  -120.0000    -392.435 0.3317   0.6325E-01  0.1799E-03 -0.1209E+00  0.1275E-02      -1  -0.541E-02   20.00
  62  -122.0000    -395.320 0.3499   0.3431E-01  0.1654E-03 -0.1175E+00  0.1275E-02      -1  -0.526E-02   20.00
  63  -124.0000    -400.148 0.3492   0.3354E-01  0.1636E-03 -0.1141E+00  0.1275E-02      -1  -0.510E-02   20.00
  64  -126.0000    -404.929 0.3485   0.3277E-01  0.1617E-03 -0.1107E+00  0.1275E-02      -1  -0.495E-02   20.00
  65  -128.0000    -409.658 0.3478   0.3201E-01  0.1599E-03 -0.1072E+00  0.1275E-02      -1  -0.480E-02   20.00
  66  -130.0000    -414.328 0.3471   0.3126E-01  0.1581E-03 -0.1038E+00  0.1275E-02      -1  -0.464E-02   20.00
  67  -132.0000    -418.936 0.3464   0.3052E-01  0.1564E-03 -0.1003E+00  0.1275E-02      -1  -0.449E-02   20.00
  68  -134.0000    -423.474 0.3457   0.2979E-01  0.1546E-03 -0.9687E-01  0.1275E-02      -1  -0.433E-02   20.00
  69  -136.0000    -427.940 0.3451   0.2907E-01  0.1529E-03 -0.9345E-01  0.1275E-02      -1  -0.418E-02   20.00
  70  -138.0000    -432.329 0.3444   0.2837E-01  0.1512E-03 -0.9007E-01  0.1275E-02      -1  -0.403E-02   20.00
  71  -140.0000    -436.637 0.3438   0.2768E-01  0.1496E-03 -0.8673E-01  0.1275E-02      -1  -0.388E-02   20.00
  72  -142.0000    -440.861 0.3432   0.2700E-01  0.1479E-03 -0.8345E-01  0.1275E-02      -1  -0.373E-02   20.00
  73  -144.0000    -444.997 0.3425   0.2634E-01  0.1464E-03 -0.8024E-01  0.1275E-02      -1  -0.359E-02   20.00
  74  -146.0000    -449.045 0.3419   0.2569E-01  0.1448E-03 -0.7710E-01  0.1275E-02      -1  -0.345E-02   20.00
  75  -148.0000    -453.001 0.3414   0.2505E-01  0.1433E-03 -0.7403E-01  0.1275E-02      -1  -0.331E-02   20.00
  76  -150.0000    -456.863 0.3408   0.2443E-01  0.1418E-03 -0.7106E-01  0.1275E-02      -1  -0.318E-02   20.00
  77  -152.0000    -460.632 0.3402   0.2383E-01  0.1404E-03 -0.6817E-01  0.1275E-02      -1  -0.305E-02   20.00
  78  -154.0000    -464.305 0.3397   0.2324E-01  0.1390E-03 -0.6537E-01  0.1275E-02      -1  -0.292E-02   20.00
  79  -156.0000    -467.883 0.3391   0.2266E-01  0.1376E-03 -0.6267E-01  0.1275E-02      -1  -0.280E-02   20.00
  80  -158.0000    -471.365 0.3386   0.2210E-01  0.1362E-03 -0.6006E-01  0.1275E-02      -1  -0.269E-02   20.00
  81  -160.0000    -474.750 0.3381   0.2156E-01  0.1349E-03 -0.5754E-01  0.1275E-02      -1  -0.257E-02   20.00
  82  -162.0000    -478.038 0.3376   0.2103E-01  0.1337E-03 -0.5512E-01  0.1275E-02      -1  -0.247E-02   20.00
  83  -164.0000    -481.230 0.3372   0.2052E-01  0.1325E-03 -0.5278E-01  0.1275E-02      -1  -0.236E-02   20.00
  84  -166.0000    -484.326 0.3367   0.2002E-01  0.1313E-03 -0.5053E-01  0.1275E-02      -1  -0.226E-02   20.00
  85  -168.0000    -487.311 0.3363   0.1964E-01  0.1303E-03 -0.4832E-01  0.1275E-02      -1  -0.216E-02   20.00
  86  -170.0000    -490.143 0.3360   0.1944E-01  0.1296E-03 -0.4611E-01  0.1275E-02      -1  -0.206E-02   20.00
  87  -172.0000    -492.799 0.3357   0.1925E-01  0.1289E-03 -0.4395E-01  0.1275E-02      -1  -0.197E-02   20.00
  88  -174.0000    -495.275 0.3354   0.1907E-01  0.1283E-03 -0.4184E-01  0.1275E-02      -1  -0.187E-02   20.00
  89  -176.0000    -497.571 0.3351   0.1891E-01  0.1278E-03 -0.3976E-01  0.1275E-02      -1  -0.178E-02   20.00
  90  -178.0000    -499.684 0.3349   0.1876E-01  0.1273E-03 -0.3772E-01  0.1275E-02      -1  -0.169E-02   20.00
  91  -180.0000    -501.613 0.3347   0.1862E-01  0.1268E-03 -0.3572E-01  0.1275E-02      -1  -0.160E-02   20.00
  92  -182.0000    -503.354 0.3345   0.1850E-01  0.1264E-03 -0.3374E-01  0.1275E-02      -1  -0.151E-02   20.00
